				Товар			Знач.	Продажи за год		01.01.15	 - 14.01.15	15.01.15	 - 31.01.15	01.02.15	 - 14.02.15	15.02.15	 - 28.02.15	01.03.15	 - 14.03.15	15.03.15	 - 31.03.15	01.04.15	 - 14.04.15	15.04.15	 - 30.04.15	01.05.15	 - 14.05.15	15.05.15	 - 31.05.15	01.06.15	 - 14.06.15	15.06.15	 - 30.06.15	01.07.15	 - 14.07.15	15.07.15	 - 31.07.15	01.08.15	 - 14.08.15	15.08.15	 - 31.08.15	01.09.15	 - 14.09.15	15.09.15	 - 30.09.15	01.10.15	 - 14.10.15	15.10.15	 - 31.10.15	01.11.15	 - 14.11.15	15.11.15	 - 30.11.15	01.12.15	 - 14.12.15	15.12.15	 - 31.12.15
								План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
А-000061		Стиральные машины, центрифуги Renova					К-во	   20 330	         	      635	         	    1 095	         	    1 875	         	    1 875	         	    2 125	         	    2 125	         	    2 375	         	    2 375	         	    2 925	         	    2 925	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         
							%наценки	  41%						  41%		  41%		  41%		  41%		  41%		  41%		  41%		  41%																													
							Себест.	     463 196.00	               	               	               	               	               	      57 899.50	               	      57 899.50	               	      57 899.50	               	      57 899.50	               	      57 899.50	               	      57 899.50	               	      57 899.50	               	      57 899.50	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               
							Наценка	     189 910.40	               	               	               	               	               	      23 738.80	               	      23 738.80	               	      23 738.80	               	      23 738.80	               	      23 738.80	               	      23 738.80	               	      23 738.80	               	      23 738.80	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               
							Оборот	     653 106.40	               	               	               	               	               	      81 638.30	               	      81 638.30	               	      81 638.30	               	      81 638.30	               	      81 638.30	               	      81 638.30	               	      81 638.30	               	      81 638.30	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               
Ц0006317	А-000061	Cтиральная машина Renova WS-20 -  двубаковая					К-во	         	         	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47		       1 901.47	
							%наценки			  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%	
							Себест.	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
Ц0012610	А-000061	Cтиральная машина Renova WS-30ET-пр-во Россия					К-во	    3 450	         	      100		      150		      350		      350		      400		      400		      400		      400		      450		      450		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							%наценки			 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Себест.	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
Ц0006827	А-000061	Cтиральная машина Renova WS-30T-пр-во Россия					К-во	         	         	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42		       1 250.42	
